company;slug;field;display_field;current_value;verified_value;source;affects_score;status
Valida Pensionskasse AG;valida-pensionskasse-ag;flag;Flag;[CONFIRMED] — private debt evidence dated 2020-2023 — verify current allocation;;;no;
Resaver;resaver;aum;AUM;VERIFY — not published;;;yes;
Donau;donau;aum;AUM;VERIFY — multi-billion likely;;;yes;
Uniqa Insurance Group;uniqa-insurance-group;flag;Flag;[LIKELY] — CEO email likely misspelled (brandstatter vs Brandstetter) — verify before sending — group CIO to find;;;no;
Allianz Österreich;allianz-osterreich;aum;AUM;VERIFY — check Allianz Elementar SFCR;;;yes;
Grawe Group;grawe-group;flag;Flag;[CONFIRMED] — verify GBG Private Markets mandate — if it allocates to external funds this score rises sharply;;;no;
Ergo Versicherung AG;ergo-versicherung-ag;aum;AUM;VERIFY — group €138.1B via MEAG;;;yes;
Merkur Versicherung AG;merkur-versicherung-ag;aum;AUM;VERIFY — own funds €1.1B;;;yes;
Helvetia Versicherungen;helvetia-versicherungen;flag;Flag;[CONFIRMED] — CLUSTER→Helvetia Group St. Gallen (no pipeline lead) — Swiss group sets SAA — verify local discretion and find local investment head;;;no;
Oberösterreichische Versicherung;oberosterreichische-versicherung;aum;AUM;VERIFY — check Geschäftsbericht;;;yes;
Zürich Versicherung AG;zurich-versicherung-ag;aum;AUM;VERIFY — check SFCR;;;yes;
Croatia osiguranje d.d.;croatia-osiguranje-dd;flag;Flag;[CONFIRMED] — CEE super-match geography — verify AR 2025 investment note for any credit exposure;;;no;
Euroherc osiguranje;euroherc-osiguranje;aum;AUM;VERIFY;;;yes;
Adriatic Osiguranje;adriatic-osiguranje;aum;AUM;VERIFY — revenues €237M 2024;;;yes;
Wiener Osiguranje VIG;wiener-osiguranje-vig;aum;AUM;VERIFY;;;yes;
Grawe Hrvatska;grawe-hrvatska;aum;AUM;VERIFY — check Godišnje izvješće 2024;;;yes;
Generali osiguranje;generali-osiguranje;aum;AUM;VERIFY — revenues €131.7M 2025;;;yes;
Generali osiguranje;generali-osiguranje;flag;Flag;[UNVERIFIED] — CLUSTER→generali-italia — same Generali group as Austrian row — verify Carini mandate renewal (3-year term from Dec 2022);;;no;
Triglav osiguranje;triglav-osiguranje;aum;AUM;VERIFY — revenues €81.7M 2024;;;yes;
Merkur osiguranje;merkur-osiguranje;aum;AUM;VERIFY;;;yes;
AZ Mandatory Pension Fund;az-mandatory-pension-fund;aum;AUM;Cat B €7.8B — Cat A VERIFY;;;yes;
ABA Mandatory Pension Fund;aba-mandatory-pension-fund;aum;AUM;VERIFY — one of four managers in €24B Pillar II sector;;;yes;
Raifeisen Voluntary Pension Fund;raifeisen-voluntary-pension-fund;aum;AUM;VERIFY — sector ~€1.2B total;;;yes;
Erste Mandatory Pension Fund;erste-mandatory-pension-fund;aum;AUM;VERIFY — multi-billion share of €24B sector;;;yes;
AZ Voluntary Pension Fund;az-voluntary-pension-fund;aum;AUM;VERIFY — likely €300-500M;;;yes;
Erste Voluntary Fund;erste-voluntary-fund;aum;AUM;VERIFY — small;;;yes;
Croatia osiguranje Voluntary;croatia-osiguranje-voluntary;aum;AUM;VERIFY — likely €150-250M;;;yes;
ČSOB Penzijní společnost;csob-penzijni-spolecnost;aum;AUM;VERIFY — sector: pension companies CZK 644B total;;;yes;
Allianz Penzijní společnost;allianz-penzijni-spolecnost;aum;AUM;VERIFY;;;yes;
Allianz Penzijní společnost;allianz-penzijni-spolecnost;flag;Flag;[UNVERIFIED] — most time-sensitive CEE row — verify fund launch status and the pension company's own board chair;;;no;
ČSOB Pojišťovna;csob-pojistovna;aum;AUM;VERIFY — ~€1.5-2.5B;;;yes;
Allianz pojišťovna;allianz-pojistovna;aum;AUM;VERIFY — ~€2-3B;;;yes;
Kooperativa pojišťovna;kooperativa-pojistovna;aum;AUM;VERIFY — ~€3-4B;;;yes;
Generali Česká pojišťovna;generali-ceska-pojistovna;aum;AUM;VERIFY — largest Czech insurer ~€5-6B;;;yes;
Generali Česká pojišťovna;generali-ceska-pojistovna;flag;Flag;[UNVERIFIED] — Czech market leader — verify SFCR book;;;no;
